Category,PartName,Model,VendorName,VendorWebsite,VendorLoginURL,VendorUsername,VendorPasswordHint,VendorSupportEmail,VendorSupportPhone,PurchaseDate,PricePaid,Currency,OrderID,SerialNumber,WarrantyProvider,WarrantyType,WarrantyRegistrationURL,WarrantyLengthMonths,WarrantyStartDate,WarrantyEndDate,WarrantySupportEmail,WarrantySupportPhone,ExtendedWarrantyProvider,ExtendedWarrantyLengthMonths,ExtendedWarrantyDetails,ExtendedWarrantySupportEmail,ExtendedWarrantySupportPhone,Notes
CPU,AMD Ryzen 9 9950X3D,4.3 GHz 16-Core Processor,,,,,,,,,660.00,USD,,,,AMD,Manufacturer,https://www.amd.com/en/support/warranty,36,,,warranty@amd.com,1-877-284-1566,,,,,"High-end 16-core CPU with 3D V-Cache"
CPU Cooler,ARCTIC Liquid Freezer III Pro A-RGB,110 CFM Liquid CPU Cooler,,,,,,,,,112.00,USD,,,,ARCTIC,Manufacturer,https://www.arctic.de/en/support,24,,,support@arctic.de,,,,,,"360mm AIO with A-RGB"
Motherboard,Asus ROG CROSSHAIR X870E HERO,ATX AM5 Motherboard,,,,,,,,,589.00,USD,,,,ASUS,Manufacturer,https://account.asus.com/warranty,36,,,warranty@asus.com,1-888-678-3688,,,,,Premium X870E chipset board
Memory,G.Skill Trident Z5 Neo RGB,96 GB (2 x 48 GB) DDR5-6000 CL26,,,,,,,,,1165.99,USD,,,,G.Skill,Manufacturer,https://www.gskill.com/warranty,Lifetime,,,usservice@gskill.com,1-626-854-9338,,,,,96GB DDR5-6000 kit optimized for AMD
Storage,Samsung 9100 PRO,4 TB M.2-2280 PCIe 5.0 X4 NVME SSD,,,,,,,,,369.00,USD,,,,Samsung,Manufacturer,https://www.samsung.com/us/support/warranty/,60,,,support@samsung.com,1-800-726-7864,,,,,4TB PCIe 5.0 flagship SSD
GPU,MSI SUPRIM LIQUID SOC GeForce RTX 5090,32 GB Video Card,,,,,,,,,3020.00,USD,,,,MSI,Manufacturer,https://register.msi.com/,36,,,warranty@msi.com,1-626-271-1004,SquareTrade / Store Plan,24,2-year extended warranty for GPU accidental damage and defects,support@squaretrade.com,1-877-927-7268,Flagship RTX 5090 with liquid cooling and 32GB VRAM
Case,Fractal Design Meshify 3 XL Ambience Pro RGB,ATX Full Tower Case,,,,,,,,,269.00,USD,,,,Fractal Design,Manufacturer,https://www.fractal-design.com/support/,24,,,support@fractal-design.com,,,,,,"Full tower with excellent airflow and RGB"
Power Supply,SeaSonic PRIME TX-1600 ATX 3.1,1600 W 80+ Titanium Certified Fully Modular,,,,,,,,,560.00,USD,,,,SeaSonic,Manufacturer,https://seasonic.com/warranty-check,144,,,rma@seasonicusa.com,1-510-897-0188,,,,,"1600W 80+ Titanium PSU with 12-year warranty"
Case Fan,Fractal Design Momentum,74.39 CFM 140 mm Fan,,,,,,,,,32.00,USD,,,,Fractal Design,Manufacturer,https://www.fractal-design.com/support/,24,,,support@fractal-design.com,,,,,Additional 140mm case fan
Monitor,Asus ROG Swift OLED PG32UCDP,31.5" 3840 x 2160 240 Hz Monitor,,,,,,,,,1055.48,USD,,,,ASUS,Manufacturer,https://account.asus.com/warranty,36,,,warranty@asus.com,1-888-678-3688,,,,,32" 4K OLED 240Hz gaming monitor
