Category,PartName,Model,VendorName,VendorWebsite,VendorLoginURL,VendorUsername,VendorPasswordHint,VendorSupportEmail,VendorSupportPhone,PurchaseDate,PricePaid,Currency,OrderID,SerialNumber,WarrantyProvider,WarrantyType,WarrantyRegistrationURL,WarrantyLengthMonths,WarrantyStartDate,WarrantyEndDate,WarrantySupportEmail,WarrantySupportPhone,ExtendedWarrantyProvider,ExtendedWarrantyLengthMonths,ExtendedWarrantyDetails,ExtendedWarrantySupportEmail,ExtendedWarrantySupportPhone,Notes
CPU,AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,100-100000719WOF,Amazon,https://www.amazon.com,,,,,,2025-11-29,660.00,USD,112-5645004-8821068,9MS2463T50099,AMD,Manufacturer,https://www.amd.com/en/resources/support-articles/warranty/PIB.html,36,2025-11-29,2028-11-29,,,None,,,,,,Retain original packaging and proof of purchase.
Cooler,ARCTIC Liquid Freezer III Pro 420 A-RGB - AIO CPU Cooler - Water Cooling,,Amazon,https://www.amazon.com,,,,,,2025-12-04,112.00,USD,112-4146291-0401819,4895265000355,ARCTIC,Manufacturer,https://www.arctic.de/us/support/manufacturer-warranty/,72,2025-12-04,2031-12-04,,,None,,,,,,Direct support system; no email registration required.
Motherboard,Asus ROG CROSSHAIR X870E HERO ATX,ROG CROSSHAIR X870E HERO,Amazon,https://www.amazon.com,,,,,,2025-11-30,589.00,USD,112-8994175-0553063,T6M0MX01H233B87,ASUS,Manufacturer,https://account.asus.com/info.aspx,36,2025-11-30,2028-11-30,,,None,,,,,,Registered using singh gmail.
Memory,G.Skill Trident Z5 Neo RGB 96 GB (2 x 48 GB),DDR5-6000 CL28,Amazon,https://www.amazon.com,,,,,,2025-12-18,1165.99,USD,112-3170461-4030629,,G.Skill,Limited Lifetime,https://www.gskill.com/warranty,,,,,,None,,,,,,Handled via RMA with proof of purchase.
Storage,Samsung 9100 PRO 4 TB M.2 PCIe 5.0 NVME,MZ-VAP4T0,Amazon,https://www.amazon.com,,,,,,2025-11-29,369.00,USD,112-5645004-8821068,S7YANJ0Y310193,Samsung,Limited,https://www.samsung.com/us/support/register/,60,2025-11-29,2030-11-29,,,None,,,,,,Registration recommended via Samsung Magician.
Video Card,MSI SUPRIM LIQUID SOC GeForce RTX 5090 32 GB,G5090-32SLS,Newegg,https://www.newegg.com,,,,,,2025-11-29,3020.00,USD,409043824,602-V530-010T2511000284,MSI,Manufacturer,https://register.msi.com/,36,2025-11-29,2028-11-29,,1-626-271-1004,None,,,,,,Hybrid AIO cooling system. Registered using singh gmail.
Case,Fractal Design Meshify 3 XL Ambience Pro RGB,,Amazon,https://www.amazon.com,,,,,,2025-11-29,285.00,USD,112-1257581-6916218,,Fractal Design,Manufacturer,https://www.fractal-design.com/support/warranty/,24,2025-11-29,2027-11-29,,,None,,,,,,No registration required.
Power Supply,SeaSonic PRIME TX-1600 1600 W 80+ Titanium,,Amazon,https://www.amazon.com,,,,,,2025-11-29,560.00,USD,112-1486728-9189069,,SeaSonic,Manufacturer,https://seasonic.com/product-registration,144,2025-11-29,2037-11-29,,,None,,,,,,Registration required for full warranty.
Case Fan,Fractal Design Momentum 74.39 CFM 140 mm,,Newegg,https://www.newegg.com,,,,,,2025-11-30,34.97,USD,404634539,,Fractal Design,Manufacturer,https://www.fractal-design.com/support/warranty/,24,2025-11-30,2027-11-30,,,None,,,,,,No registration required.
Monitor,Asus ROG Swift OLED PG32UCDP 31.5" 240 Hz,PG32UCDP,Best Buy,https://www.bestbuy.com,,,,,,2025-11-28,1055.48,USD,BBY01-807114908258,,ASUS,Manufacturer,https://account.asus.com/info.aspx,36,2025-11-28,2028-11-28,,,None,,,,,,Includes OLED burn-in coverage. Registered using singh gmail.
